Type;Name;from;to;rline[Ohm];xline[Ohm];wc2[uS];snom[MVA];breaker
LINE;L_TN_N0;TN;N0;1.41;1.41;0;0;1
LINE;L_1100_1101;1100;1101;0.2038;0.1056;0;6.82;1
LINE;L_1101_1102;1101;1102;0.2038;0.1056;0;6.82;1
LINE;L_1102_1103;1102;1103;0.0624;0.017;0;4.84;1
LINE;L_1100_1104;1100;1104;0.2038;0.1056;0;6.82;1
LINE;L_1104_1105;1104;1105;0.2038;0.1056;0;6.82;1
LINE;L_1105_1106;1105;1106;0.0624;0.017;0;4.84;1
LINE;L_1100_1107;1100;1107;0.2038;0.1056;0;6.82;1
LINE;L_1107_1108;1107;1108;0.2038;0.1056;0;6.82;1
LINE;L_1108_1109;1108;1109;0.0624;0.017;0;4.84;1
LINE;L_1100_1110;1100;1110;0.266;0.1378;0;6.82;1
LINE;L_1110_1111;1110;1111;0.266;0.1378;0;6.82;1
LINE;L_1111_1112;1111;1112;0.266;0.1378;0;6.82;1
LINE;L_1111_1113;1111;1113;0.0663;0.018;0;4.84;1
LINE;L_1112_1114;1112;1114;0.0663;0.018;0;4.84;1
LINE;L_1100_1115;1100;1115;0.0745;0.0574;0;8.86;1
LINE;L_1115_1116;1115;1116;0.0745;0.0574;0;8.86;1
LINE;L_1116_1117;1116;1117;0.0745;0.0574;0;8.86;1
LINE;L_1117_1118;1117;1118;0.0745;0.0574;0;8.86;1
LINE;L_1118_1119;1118;1119;0.0745;0.0574;0;8.86;1
LINE;L_1119_1120;1119;1120;0.0745;0.0574;0;8.86;1
LINE;L_1120_1121;1120;1121;0.0745;0.0574;0;8.86;1
LINE;L_1116_1122;1116;1122;0.0542;0.0147;0;4.84;1
LINE;L_1118_1123;1118;1123;0.0542;0.0147;0;4.84;1
LINE;L_1119_1124;1119;1124;0.0542;0.0147;0;4.84;1
LINE;L_1121_1125;1121;1125;0.0542;0.0147;0;4.84;1
LINE;L_1100_1126;1100;1126;0.0745;0.0574;0;8.86;1
LINE;L_1126_1127;1126;1127;0.0745;0.0574;0;8.86;1
LINE;L_1127_1128;1127;1128;0.0745;0.0574;0;8.86;1
LINE;L_1128_1129;1128;1129;0.0745;0.0574;0;8.86;1
LINE;L_1129_1130;1129;1130;0.0745;0.0574;0;8.86;1
LINE;L_1130_1131;1130;1131;0.0745;0.0574;0;8.86;1
LINE;L_1131_1132;1131;1132;0.0745;0.0574;0;8.86;1
LINE;L_1127_1133;1127;1133;0.0542;0.0147;0;4.84;1
LINE;L_1129_1134;1129;1134;0.0542;0.0147;0;4.84;1
LINE;L_1130_1135;1130;1135;0.0542;0.0147;0;4.84;1
LINE;L_1132_1136;1132;1136;0.0542;0.0147;0;4.84;1
LINE;L_1100_1137;1100;1137;0.0917;0.0706;0;8.86;1
LINE;L_1137_1138;1137;1138;0.0917;0.0706;0;8.86;1
LINE;L_1138_1139;1138;1139;0.0917;0.0706;0;8.86;1
LINE;L_1139_1140;1139;1140;0.0917;0.0706;0;8.86;1
LINE;L_1140_1141;1140;1141;0.0917;0.0706;0;8.86;1
LINE;L_1141_1142;1141;1142;0.0917;0.0706;0;8.86;1
LINE;L_1142_1143;1142;1143;0.0917;0.0706;0;8.86;1
LINE;L_1143_1144;1143;1144;0.0917;0.0706;0;8.86;1
LINE;L_1144_1145;1144;1145;0.0917;0.0706;0;8.86;1
LINE;L_1138_1146;1138;1146;0.0571;0.0155;0;4.84;1
LINE;L_1140_1147;1140;1147;0.0571;0.0155;0;4.84;1
LINE;L_1141_1148;1141;1148;0.0571;0.0155;0;4.84;1
LINE;L_1143_1149;1143;1149;0.0571;0.0155;0;4.84;1
LINE;L_1145_1150;1145;1150;0.0571;0.0155;0;4.84;1
LINE;L_1100_1151;1100;1151;0.0665;0.0512;0;8.86;1
LINE;L_1151_1152;1151;1152;0.0665;0.0512;0;8.86;1
LINE;L_1152_1153;1152;1153;0.0665;0.0512;0;8.86;1
LINE;L_1153_1154;1153;1154;0.0665;0.0512;0;8.86;1
LINE;L_1154_1155;1154;1155;0.0665;0.0512;0;8.86;1
LINE;L_1155_1156;1155;1156;0.0665;0.0512;0;8.86;1
LINE;L_1156_1157;1156;1157;0.0665;0.0512;0;8.86;1
LINE;L_1157_1158;1157;1158;0.0665;0.0512;0;8.86;1
LINE;L_1158_1159;1158;1159;0.0665;0.0512;0;8.86;1
LINE;L_1159_1160;1159;1160;0.0665;0.0512;0;8.86;1
LINE;L_1160_1161;1160;1161;0.0665;0.0512;0;8.86;1
LINE;L_1161_1162;1161;1162;0.0665;0.0512;0;8.86;1
LINE;L_1162_1163;1162;1163;0.0665;0.0512;0;8.86;1
LINE;L_1163_1164;1163;1164;0.0665;0.0512;0;8.86;1
LINE;L_1164_1165;1164;1165;0.0665;0.0512;0;8.86;1
LINE;L_1165_1166;1165;1166;0.0665;0.0512;0;8.86;1
LINE;L_1152_1167;1152;1167;0.0729;0.0198;0;4.84;1
LINE;L_1154_1168;1154;1168;0.0729;0.0198;0;4.84;1
LINE;L_1155_1169;1155;1169;0.0729;0.0198;0;4.84;1
LINE;L_1157_1170;1157;1170;0.0729;0.0198;0;4.84;1
LINE;L_1159_1171;1159;1171;0.0729;0.0198;0;4.84;1
LINE;L_1161_1172;1161;1172;0.0729;0.0198;0;4.84;1
LINE;L_1162_1173;1162;1173;0.0729;0.0198;0;4.84;1
LINE;L_1164_1174;1164;1174;0.0729;0.0198;0;4.84;1
LINE;L_1166_1175;1166;1175;0.0729;0.0198;0;4.84;1
